,Palabra,Categoría Gramatical,Oxford3000,Oxford5000,A clash of kings,A game of thrones,Name of the wind,A storm of Swords
3479,neither,determiner,a2,a2,0,0,0,0
3480,neither,pronoun,a2,a2,0,0,0,0
3481,nerve,noun,b2,b2,1,1,4,1
3482,nervous,adjective,a2,a2,11,18,22,10
3483,nest,noun,-1,c1,9,2,5,3
3484,net,adjective,-1,c1,18,1,3,29
3485,net,noun,b1,b1,0,0,0,0
3486,network,noun,a2,a2,0,0,2,0
3487,neutral,adjective,-1,b2,0,0,1,0
3488,never,adverb,a1,a1,556,405,217,678
3489,nevertheless,adverb,b2,b2,0,0,9,0
3490,new,adjective,a1,a1,119,95,98,153
3491,newly,adverb,-1,b2,1,1,3,2
3492,news,noun,a1,a1,21,18,24,21
3493,newsletter,noun,-1,c1,0,0,0,0
3494,newspaper,noun,a1,a1,0,0,0,0
3495,next,adjective,a1,a1,101,59,141,127
3496,next,adverb,a1,a1,0,0,0,0
3497,next,noun,b1,b1,0,0,0,0
3498,next to,preposition,a1,a1,0,0,0,0
3499,nice,adjective,a1,a1,10,5,40,22
3500,niche,noun,-1,c1,3,1,1,2
3501,night,noun,a1,a1,348,358,207,425
3502,nightmare,noun,b2,b2,2,8,6,9
3503,nine,number,a1,a1,23,20,26,62
3504,nineteen,number,a1,a1,3,5,2,9
3505,ninety,number,a1,a1,1,5,6,8
3506,no,determiner,a1,a1,1423,1245,667,1884
3507,no,exclamation,a1,a1,0,0,0,0
3508,no one,pronoun,a1,a1,0,0,0,0
3509,noble,adjective,-1,c1,12,25,15,22
3510,nobody,pronoun,a1,a1,0,3,5,1
3511,nod,verb,-1,c1,10,14,18,14
3512,noise,noun,a2,a2,34,21,50,24
3513,noisy,adjective,a2,a2,8,3,0,5
3514,nominate,verb,-1,c1,0,0,0,0
3515,nomination,noun,-1,c1,0,0,0,0
3516,nominee,noun,-1,c1,0,0,0,0
3517,non-profit,adjective,-1,c1,0,0,0,0
3518,none,pronoun,a2,a2,66,54,64,96
3519,nonetheless,adverb,-1,c1,16,9,1,8
3520,nonsense,noun,-1,c1,0,4,12,0
3521,noon,noun,-1,c1,3,1,22,4
3522,nor,adverb,b1,b1,154,63,15,155
3523,nor,conjunction,b1,b1,0,0,0,0
3524,norm,noun,-1,b2,0,0,0,0
3525,normal,adjective,a2,a2,4,0,20,3
3526,normal,noun,b1,b1,0,0,0,0
3527,normally,adverb,a2,a2,0,0,12,2
3528,north,adjective,a1,a1,130,144,26,198
3529,north,adverb,a1,a1,0,0,0,0
3530,north,noun,a1,a1,0,0,0,0
3531,northern,adjective,b1,b1,8,10,7,7
3532,nose,noun,a1,a1,56,19,32,108
3533,not,adverb,a1,a1,2048,1864,1014,2521
3534,notable,adjective,-1,c1,3,1,4,2
3535,notably,adverb,-1,c1,2,0,0,3
3536,note,noun,a1,a1,17,13,32,17
3537,note,verb,b1,b1,0,0,0,0
3538,notebook,noun,-1,b2,0,0,0,0
3539,nothing,pronoun,a1,a1,224,196,223,260
3540,notice,noun,a2,a2,13,23,31,11
3541,notice,verb,a2,a2,0,0,0,0
3542,notify,verb,-1,c1,0,0,0,0
3543,notion,noun,b2,b2,25,15,0,26
3544,notorious,adjective,-1,c1,3,1,1,3
3545,novel,adjective,-1,c1,0,0,1,0
3546,novel,noun,a2,a2,0,0,0,0
3547,novelist,noun,-1,b2,0,0,0,0
3548,november,noun,a1,a1,0,0,0,0
3549,now,adverb,a1,a1,504,522,297,711
3550,now,conjunction,b1,b1,0,0,0,0
3551,nowadays,adverb,-1,b2,0,0,1,0
3552,nowhere,adverb,a2,a2,15,8,17,10
3553,nuclear,adjective,b1,b1,0,0,0,0
3554,number,noun,a1,a1,11,7,23,9
3555,number,verb,a2,a2,0,0,0,0
3556,numerous,adjective,b2,b2,5,1,2,3
3557,nurse,noun,a1,a1,6,13,0,6
3558,nursery,noun,-1,c1,1,1,0,2
3559,nursing,noun,-1,b2,2,1,1,2
3560,nut,noun,a2,a2,2,0,1,5
3561,nutrition,noun,-1,b2,0,0,0,0
3562,obesity,noun,-1,b2,0,0,0,0
3563,obey,verb,b2,b2,21,7,0,16
3564,object,noun,a1,a1,3,2,5,10
3565,object,verb,b2,b2,0,0,0,0
3566,objection,noun,-1,c1,1,0,0,1
3567,objective,adjective,b2,b2,0,0,0,0
3568,objective,noun,b2,b2,0,0,0,0
3569,obligation,noun,b2,b2,0,0,0,0
3570,oblige,verb,-1,c1,0,0,0,3
3571,observation,noun,b2,b2,0,0,3,0
3572,observe,verb,b2,b2,0,0,0,0
3573,observer,noun,-1,b2,0,0,2,0
3574,obsess,verb,-1,c1,0,0,0,0
3575,obsession,noun,-1,c1,0,0,1,0
3576,obstacle,noun,-1,b2,2,1,0,1
3577,obtain,verb,b2,b2,0,0,0,0
3578,obvious,adjective,b1,b1,3,5,24,6
3579,obviously,adverb,b1,b1,0,0,35,1
3580,occasion,noun,b1,b1,0,2,5,3
3581,occasional,adjective,-1,c1,0,1,6,3
3582,occasionally,adverb,b2,b2,0,0,15,0
3583,occupation,noun,-1,b2,1,0,1,0
3584,occupy,verb,-1,b2,0,0,0,0
3585,occur,verb,b1,b1,1,1,1,0
3586,occurrence,noun,-1,c1,0,0,1,0
3587,ocean,noun,a2,a2,3,1,5,0
3588,october,noun,a1,a1,0,0,0,0
3589,odd,adjective,b1,b1,9,7,45,9
3590,odds,noun,-1,c1,2,1,8,7
3591,of,preposition,a1,a1,7179,5834,5972,8392
3592,off,adverb,a1,a1,546,455,399,662
3593,off,preposition,a1,a1,0,0,0,0
3594,offence,noun,b2,b2,0,0,0,0
3595,offend,verb,b2,b2,2,5,3,7
3596,offender,noun,-1,b2,0,0,0,0
3597,offensive,adjective,b2,b2,0,0,0,0
3598,offer,noun,a2,a2,38,24,33,47
3599,offer,verb,a2,a2,0,0,0,0
3600,offering,noun,-1,c1,7,6,8,7
3601,office,noun,a1,a1,8,12,15,5
3602,officer,noun,a2,a2,13,1,2,2
3603,official,adjective,b1,b1,0,0,5,0
3604,official,noun,b2,b2,0,0,0,0
3605,offspring,noun,-1,c1,0,1,0,1
3606,often,adverb,a1,a1,62,53,30,67
3607,oh,exclamation,a1,a1,99,97,63,142
3608,oil,noun,a2,a2,10,26,9,28
3609,ok,adjective,a1,a1,0,0,0,0
3610,ok,adverb,a1,a1,0,0,0,0
3611,ok,exclamation,a1,a1,0,0,0,0
3612,old,adjective,a1,a1,485,417,210,670
3613,old-fashioned,adjective,b1,b1,0,0,0,0
3614,on,adverb,a1,a1,1660,1613,1265,2169
3615,on,preposition,a1,a1,0,0,0,0
3616,once,adverb,a1,a1,342,244,110,504
