Palabra;Book 1;Book 2;Book 3;Book 4;Book 5;Suma Total
enkele;16.0;2.0;62.0;15.0;0.0;95.0
buiten;54.0;3.0;22.0;16.0;0.0;95.0
richting;34.0;5.0;15.0;41.0;0.0;95.0
helemaal;68.0;1.0;26.0;0.0;0.0;95.0
ieder;46.0;2.0;23.0;14.0;9.0;94.0
brengen;25.0;1.0;12.0;54.0;2.0;94.0
zoals;37.0;1.0;56.0;0.0;0.0;94.0
hadeking;94.0;0.0;0.0;0.0;0.0;94.0
hart;19.0;1.0;30.0;8.0;36.0;94.0
verhaal;58.0;12.0;8.0;15.0;0.0;93.0
bleef;7.0;4.0;35.0;42.0;5.0;93.0
iedereen;54.0;2.0;30.0;7.0;0.0;93.0
landgoed;91.0;0.0;0.0;2.0;0.0;93.0
boxbergen;92.0;0.0;0.0;0.0;0.0;92.0
politie;87.0;0.0;4.0;0.0;0.0;91.0
woorden;29.0;4.0;37.0;17.0;4.0;91.0
tussen;74.0;0.0;17.0;0.0;0.0;91.0
geval;72.0;1.0;11.0;7.0;0.0;91.0
onze;47.0;3.0;23.0;9.0;9.0;91.0
ga;60.0;7.0;21.0;1.0;1.0;90.0
wanneer;19.0;0.0;55.0;9.0;7.0;90.0
hen;25.0;1.0;30.0;32.0;2.0;90.0
nieuwe;37.0;2.0;32.0;16.0;3.0;90.0
begon;10.0;4.0;40.0;34.0;0.0;88.0
blijven;34.0;1.0;20.0;30.0;3.0;88.0
zat;34.0;3.0;29.0;21.0;1.0;88.0
kijken;49.0;0.0;26.0;13.0;0.0;88.0
willen;54.0;3.0;14.0;12.0;4.0;87.0
grond;39.0;3.0;23.0;18.0;4.0;87.0
moord;73.0;0.0;11.0;1.0;1.0;86.0
aantal;56.0;0.0;3.0;27.0;0.0;86.0
wereld;16.0;3.0;46.0;16.0;5.0;86.0
duidelijk;49.0;1.0;24.0;12.0;0.0;86.0
slechts;13.0;2.0;23.0;39.0;8.0;85.0
dadelijk;;;1.0;84.0;0.0;85.0
knikt;85.0;0.0;0.0;0.0;0.0;85.0
