Palabra;Categoría Gramatical;Oxford3000;Oxford5000;Voc;aGameOfThrones;aClashOfKings.1;aSTormOfSwords;Hp1;Hp2;Hp3;Hp4;Hp5;Hp6;Hp7;NameOfTheWind;theSlowRegardOfSilentThings;Pride and prejudice;Suma Total
queen;noun;a2;a2;1.0;214.0;270.0;281.0;4.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;774.0
doing;;;;;57.0;38.0;53.0;34.0;39.0;52.0;84.0;146.0;93.0;70.0;70.0;10.0;26.0;772.0
ginny;;;;;0.0;;;5.0;119.0;18.0;46.0;230.0;233.0;121.0;0.0;0.0;0.0;772.0
knight;;;;;204.0;216.0;286.0;8.0;3.0;34.0;2.0;10.0;2.0;2.0;3.0;0.0;0.0;770.0
world;noun;a1;a1;1.0;90.0;83.0;113.0;25.0;19.0;21.0;97.0;42.0;28.0;45.0;96.0;37.0;66.0;762.0
hundred;number;a1;a1;1.0;118.0;160.0;245.0;29.0;14.0;25.0;39.0;24.0;20.0;10.0;70.0;1.0;6.0;761.0
believe;verb;a1;a1;1.0;70.0;95.0;102.0;22.0;29.0;40.0;48.0;77.0;63.0;66.0;60.0;0.0;87.0;759.0
sent;;;;;139.0;180.0;191.0;17.0;16.0;21.0;34.0;60.0;21.0;41.0;14.0;1.0;20.0;755.0
neville;;;;;0.0;;;117.0;30.0;91.0;82.0;269.0;72.0;88.0;0.0;0.0;0.0;749.0
since;adverb;b1;b1;2.0;72.0;85.0;109.0;22.0;21.0;31.0;74.0;70.0;51.0;52.0;95.0;6.0;59.0;747.0
days;;;;;94.0;97.0;137.0;11.0;25.0;15.0;49.0;56.0;37.0;40.0;137.0;19.0;30.0;747.0
magic;adjective;b1;b1;2.0;12.0;30.0;24.0;48.0;68.0;66.0;87.0;171.0;88.0;124.0;27.0;0.0;0.0;745.0
caught;;;;;85.0;70.0;118.0;38.0;37.0;35.0;59.0;63.0;36.0;78.0;98.0;16.0;11.0;744.0
everyone;pronoun;a1;a1;1.0;44.0;39.0;45.0;57.0;45.0;66.0;89.0;91.0;51.0;51.0;160.0;0.0;6.0;744.0
hope;noun;a2;a2;1.0;73.0;83.0;122.0;22.0;21.0;22.0;39.0;47.0;49.0;43.0;96.0;3.0;121.0;741.0
wind;noun;a2;a2;1.0;138.0;143.0;180.0;9.0;2.0;23.0;18.0;19.0;16.0;20.0;148.0;12.0;1.0;729.0
ask;verb;a1;a1;1.0;80.0;83.0;103.0;33.0;35.0;36.0;71.0;75.0;63.0;48.0;67.0;1.0;32.0;727.0
snow;noun;a1;a1;1.0;177.0;83.0;346.0;3.0;8.0;7.0;6.0;25.0;11.0;35.0;25.0;0.0;0.0;726.0
already;adverb;a2;a2;1.0;52.0;37.0;50.0;43.0;28.0;45.0;59.0;109.0;113.0;86.0;70.0;6.0;28.0;726.0
seven;number;a1;a1;1.0;138.0;88.0;192.0;23.0;18.0;20.0;54.0;60.0;43.0;28.0;51.0;4.0;3.0;722.0
