"넷플릭스 오리지널 시리즈"	‎"넷플릭스 오리지널 시리즈"
‎[문이 달칵 여닫힌다]	‎[문이 달칵 여닫힌다]
‎[다가오는 발걸음]	‎[다가오는 발걸음]
‎[창의 떨리는 숨소리]	‎[창의 떨리는 숨소리]
‎(범일) ‎전하가 사라져?	‎(범일) ‎전하가 사라져?
‎(상선) ‎송구하옵니다	‎(상선) ‎송구하옵니다
‎잠시 자리를 비운 사이에...	‎잠시 자리를 비운 사이에...
‎(범일) ‎죽고 싶지 않으면 당장 찾아내게	‎(범일) ‎죽고 싶지 않으면 당장 찾아내게
‎어서!	‎어서!
‎(창) ‎아바마마께서	‎(창) ‎아바마마께서
‎사라져?	‎사라져?
‎[발걸음 소리가 들린다] ‎[삐거덕거리는 소리가 들린다]	‎[발걸음 소리가 들린다] ‎[삐거덕거리는 소리가 들린다]
‎[창의 놀란 숨소리]	‎[창의 놀란 숨소리]
‎[긴장되는 음악]	‎[긴장되는 음악]
‎[다가오는 발걸음]	‎[다가오는 발걸음]
‎[괴상한 신음이 들린다] ‎[창의 놀란 숨소리]	‎[괴상한 신음이 들린다] ‎[창의 놀란 숨소리]
‎[괴상한 신음이 들린다]	‎[괴상한 신음이 들린다]
‎[창의 힘겨운 숨소리]	‎[창의 힘겨운 숨소리]
‎[그르렁거리는 소리가 들린다]	‎[그르렁거리는 소리가 들린다]
‎[괴성이 들린다] ‎[창의 긴장한 숨소리]	‎[괴성이 들린다] ‎[창의 긴장한 숨소리]
‎[창의 겁먹은 숨소리]	‎[창의 겁먹은 숨소리]
‎[둔탁한 소리가 들린다]	‎[둔탁한 소리가 들린다]
‎[놀란 숨소리]	‎[놀란 숨소리]
‎[긴장되는 음악]	‎[긴장되는 음악]
‎[발걸음 소리가 들린다]	‎[발걸음 소리가 들린다]
‎[거친 숨소리]	‎[거친 숨소리]
‎(범일) ‎여기서 뭘 하고 계신 겁니까?	‎(범일) ‎여기서 뭘 하고 계신 겁니까?
